GuilhermeBarros,Otto2,Gabrielp,Adriano2,Luciene,AleaJactaEst,Vivis3,Adriano1,Arthur,JoaoHonesto,Fabio21,Eliane2,Valentim,LeoRodrigues,Cascalho,Fernanda,Victor,Medusa,Cecilia1,Valentim2,Pedro02,AntonioPulcherio,jefferson2,Vitoria,FlavioCoelho,Arthur2,Adriano3,Oda,GuilhermePassos3,CorreVento,Otto,leondiniz,GuilhermePassos,jefferson,Souza,FlavioCCoelho,Cecilia2,GuilhermePassos2,Eliane,wd1,MaxRep,Daniel,AraraClayton,LeonardoPinheiro,MaisOuMenos,KatnissEverdin,MediaAna,Gabriel,Pedro01,rafaelmesq,popst,LuisEduardo
0.0,1.0,0.0,0.6666666666666666,1.0,0.7450980392156863,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,0.5882352941176471,1.0,0.0,1.0,0.5098039215686274,0.0,0.0,0.7058823529411765,1.0,0.49019607843137253,0.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,1.0,0.0,1.0,1.0,0.5098039215686274,1.0,0.0,1.0,1.0,0.5098039215686274,0.0,1.0,0.0,1.0,0.0,0.0,0.5098039215686274,0.0,1.0,1.0
0.11764705882352941,1.0,0.11764705882352941,0.3333333333333333,0.7647058823529411,0.7156862745098039,0.5,0.3431372549019608,0.6862745098039216,0.29411764705882354,0.9901960784313726,1.0,1.0,0.5,0.6372549019607843,0.6078431372549019,0.0,0.5,0.2549019607843137,0.20588235294117646,0.11764705882352941,0.6372549019607843,0.7843137254901961,0.5686274509803921,0.0,0.6274509803921569,0.4411764705882353,[0.81372549],1.0,0.47058823529411764,1.0,0.5,1.0,0.20588235294117646,1.0,1.0,0.5098039215686274,1.0,0.049019607843137254,1.0,0.7352941176470589,0.5098039215686274,0.3431372549019608,1.0,0.11764705882352941,1.0,0.39215686274509803,0.11764705882352941,0.5784313725490197,0.0,0.9215686274509803,0.9901960784313726
0.20915032679738563,1.0,0.26143790849673204,0.45098039215686275,0.738562091503268,0.7516339869281046,0.45098039215686275,0.38562091503267976,0.5294117647058824,0.40522875816993464,0.9607843137254902,0.9215686274509803,1.0,0.6666666666666666,0.6470588235294118,0.47058823529411764,0.0,0.5032679738562091,0.20261437908496732,0.30718954248366015,0.10457516339869281,0.6405228758169934,0.6862745098039216,0.5555555555555556,0.0,0.5490196078431373,0.45098039215686275,[0.74509804],0.738562091503268,0.5032679738562091,1.0,0.3333333333333333,1.0,0.30718954248366015,1.0,1.0,0.5032679738562091,1.0,0.0915032679738562,1.0,0.5686274509803921,0.43137254901960786,0.43790849673202614,0.7843137254901961,0.22875816993464052,1.0,0.47058823529411764,0.26143790849673204,0.5620915032679739,0.0,0.9215686274509803,0.9607843137254902
0.22058823529411764,1.0,0.35784313725490197,0.3382352941176471,0.7401960784313726,0.7794117647058824,0.45098039215686275,0.4362745098039216,0.4803921568627451,0.47058823529411764,0.9313725490196079,0.8921568627450981,1.0,0.75,0.6225490196078431,0.4264705882352941,0.0,0.4852941176470588,0.17647058823529413,0.37254901960784315,0.11764705882352941,0.6568627450980392,0.6176470588235294,0.5735294117647058,0.0,0.4950980392156863,0.44607843137254904,[0.69607843],0.6176470588235294,0.5196078431372549,1.0,0.3872549019607843,0.7990196078431373,0.37254901960784315,1.0,1.0,0.4950980392156863,0.8284313725490197,0.11274509803921569,1.0,0.47058823529411764,0.38235294117647056,0.46078431372549017,0.6666666666666666,0.3137254901960784,1.0,0.4803921568627451,0.35784313725490197,0.5343137254901961,0.0,0.9068627450980392,0.9313725490196079
0.23921568627450981,1.0,0.4235294117647059,0.4235294117647059,0.7450980392156863,0.788235294117647,0.47058823529411764,0.4745098039215686,0.47843137254901963,0.49411764705882355,0.9215686274509803,0.8862745098039215,1.0,0.8,0.611764705882353,0.3843137254901961,0.0,0.47843137254901963,0.1607843137254902,0.40784313725490196,0.22745098039215686,0.6549019607843137,0.5803921568627451,0.5725490196078431,0.0,0.4823529411764706,0.4470588235294118,[0.67058824],0.5490196078431373,0.47058823529411764,1.0,0.44313725490196076,0.6784313725490196,0.40784313725490196,1.0,1.0,0.49411764705882355,0.7372549019607844,0.12941176470588237,1.0,0.403921568627451,0.3686274509803922,0.49411764705882355,0.5803921568627451,0.3764705882352941,1.0,0.5019607843137255,0.4235294117647059,0.5294117647058824,0.0,0.9019607843137255,0.9215686274509803
0.24509803921568626,1.0,0.4673202614379085,0.35294117647058826,0.7483660130718954,0.7843137254901961,0.4869281045751634,0.4477124183006536,0.4477124183006536,0.4869281045751634,0.9150326797385621,0.8823529411764706,1.0,0.8333333333333334,0.6372549019607843,0.35947712418300654,0.0,0.47058823529411764,0.1503267973856209,0.434640522875817,0.20915032679738563,0.6535947712418301,0.5522875816993464,0.565359477124183,0.0,0.46078431372549017,0.4444444444444444,[0.6372549],0.5065359477124183,0.4934640522875817,1.0,0.4803921568627451,0.5947712418300654,0.434640522875817,1.0,1.0,0.49673202614379086,0.6797385620915033,0.13071895424836602,1.0,0.35947712418300654,0.3562091503267974,0.5163398692810458,0.5196078431372549,0.4215686274509804,0.954248366013072,0.5163398692810458,0.4673202614379085,0.5130718954248366,0.0,0.8986928104575164,0.9150326797385621
0.24929971988795518,1.0,0.4957983193277311,0.3025210084033613,0.7507002801120448,0.7703081232492998,0.5014005602240896,0.4733893557422969,0.453781512605042,0.49019607843137253,0.9103641456582633,0.8795518207282913,1.0,0.8571428571428571,0.6470588235294118,0.3445378151260504,0.0,0.45938375350140054,0.14285714285714285,0.45938375350140054,0.24929971988795518,0.6554621848739496,0.5294117647058824,0.5546218487394958,0.0,0.44537815126050423,0.4369747899159664,[0.6302521],0.4733893557422969,0.48179271708683474,1.0,0.5098039215686274,0.5294117647058824,0.45938375350140054,1.0,1.0,0.4957983193277311,0.6414565826330533,0.12885154061624648,1.0,0.32492997198879553,0.35014005602240894,0.5322128851540616,0.4789915966386555,0.45098039215686275,0.9215686274509803,0.5182072829131653,0.4957983193277311,0.48739495798319327,0.0,0.907563025210084,0.9103641456582633
0.25,1.0,0.5171568627450981,0.36519607843137253,0.7524509803921569,0.7769607843137255,0.5122549019607843,0.45098039215686275,0.4583333333333333,0.5049019607843137,0.9044117647058824,0.8774509803921569,1.0,0.875,0.6617647058823529,0.3284313725490196,0.0,0.44362745098039214,0.13725490196078433,0.48284313725490197,0.27450980392156865,0.6715686274509803,0.5098039215686274,0.5490196078431373,0.0,0.4338235294117647,0.4264705882352941,[0.61519608],0.4534313725490196,0.4950980392156863,1.0,0.5294117647058824,0.4803921568627451,0.48284313725490197,1.0,1.0,0.4950980392156863,0.6102941176470589,0.12745098039215685,1.0,0.29901960784313725,0.3382352941176471,0.553921568627451,0.4485294117647059,0.4730392156862745,0.8921568627450981,0.5392156862745098,0.5171568627450981,0.49264705882352944,0.0,0.9068627450980392,0.9044117647058824
0.24836601307189543,1.0,0.5337690631808278,0.32461873638344224,0.7538126361655774,0.7843137254901961,0.5185185185185185,0.42919389978213507,0.4553376906318083,0.5054466230936819,0.8954248366013072,0.8779956427015251,1.0,0.8888888888888888,0.6557734204793029,0.3202614379084967,0.0,0.43137254901960786,0.1328976034858388,0.5010893246187363,0.2636165577342048,0.6797385620915033,0.4923747276688453,0.5577342047930284,0.0,0.42701525054466233,0.41830065359477125,[0.61002179],0.4335511982570806,0.48366013071895425,1.0,0.5446623093681917,0.4400871459694989,0.5010893246187363,1.0,1.0,0.49455337690631807,0.579520697167756,0.12636165577342048,1.0,0.2788671023965142,0.3311546840958606,0.5686274509803921,0.42483660130718953,0.4880174291938998,0.869281045751634,0.5359477124183006,0.5337690631808278,0.49673202614379086,0.0,0.9084967320261438,0.8954248366013072
0.2568627450980392,1.0,0.5470588235294118,0.37254901960784315,0.7549019607843137,0.7823529411764706,0.5235294117647059,0.45098039215686275,0.4470588235294118,0.503921568627451,0.8862745098039215,0.8764705882352941,1.0,0.9,0.6666666666666666,0.3156862745098039,0.0,0.42745098039215684,0.12941176470588237,0.5117647058823529,0.30392156862745096,0.6784313725490196,0.4823529411764706,0.5529411764705883,0.0,0.4196078431372549,0.41568627450980394,[0.60784314],0.4176470588235294,0.4568627450980392,1.0,0.5607843137254902,0.4117647058823529,0.5117647058823529,1.0,1.0,0.49411764705882355,0.5647058823529412,0.12352941176470589,1.0,0.2627450980392157,0.32941176470588235,0.5686274509803921,0.40588235294117647,0.5,0.8509803921568627,0.5450980392156862,0.5470588235294118,0.49607843137254903,0.0,0.9137254901960784,0.8862745098039215
